SUITE,TESTS,DATE
BROWSER,9,22/03
CALENDAR,4,22/03
CAMERA,8,22/03
CLOCK,4,22/03
CONTACTS,87,22/03
DIALER,66,22/03
EMAIL,12,22/03
FACEBOOK,4,22/03
GALLERY,6,22/03
HOMESCREEN,18,22/03
MARKETPLACE,1,22/03
MMS,66,22/03
SETTINGS,3,22/03
SMS,124,22/03
VIDEO,1,22/03
WIFI,12,22/03
BROWSER,12,24/03
CALENDAR,6,24/03
CAMERA,14,24/03
CLOCK,4,24/03
CONTACTS,90,24/03
DIALER,64,24/03
EMAIL,13,24/03
FACEBOOK,7,24/03
GALLERY,9,24/03
HOMESCREEN,20,24/03
MARKETPLACE,2,24/03
MMS,60,24/03
SETTINGS,3,24/03
SMS,150,24/03
VIDEO,1,24/03
WIFI,14,24/03
BROWSER,9,25/03
CALENDAR,4,25/03
CAMERA,8,25/03
CLOCK,4,25/03
CONTACTS,87,25/03
DIALER,66,25/03
EMAIL,12,25/03
FACEBOOK,4,25/03
GALLERY,6,25/03
HOMESCREEN,18,25/03
MARKETPLACE,1,25/03
MMS,66,25/03
SETTINGS,3,25/03
SMS,124,25/03
VIDEO,1,25/03
WIFI,12,25/03
BROWSER,9,26/03
CALENDAR,4,26/03
CAMERA,8,26/03
CLOCK,4,26/03
CONTACTS,87,26/03
DIALER,66,26/03
EMAIL,12,26/03
FACEBOOK,4,26/03
GALLERY,6,26/03
HOMESCREEN,18,26/03
MARKETPLACE,1,26/03
MMS,66,26/03
SETTINGS,3,26/03
SMS,124,27/03
VIDEO,1,27/03
WIFI,12,27/03
BROWSER,9,27/03
CALENDAR,4,27/03
CAMERA,8,27/03
CLOCK,4,27/03
CONTACTS,87,27/03
DIALER,66,27/03
EMAIL,12,27/03
FACEBOOK,4,27/03
GALLERY,6,27/03
HOMESCREEN,18,27/03
MARKETPLACE,1,27/03
MMS,66,27/03
SETTINGS,3,27/03
SMS,124,27/03
VIDEO,1,27/03
WIFI,12,27/03
BROWSER,9,28/03
CALENDAR,4,28/03
CAMERA,8,28/03
CLOCK,4,28/03
CONTACTS,87,28/03
DIALER,66,28/03
EMAIL,12,28/03
FACEBOOK,4,28/03
GALLERY,6,28/03
HOMESCREEN,18,28/03
MARKETPLACE,1,28/03
MMS,66,28/03
SETTINGS,3,28/03
SMS,124,28/03
VIDEO,1,28/03
WIFI,12,29/03
BROWSER,9,29/03
CALENDAR,4,29/03
CAMERA,8,29/03
CLOCK,4,29/03
CONTACTS,87,29/03
DIALER,66,29/03
EMAIL,12,29/03
FACEBOOK,4,29/03
GALLERY,6,29/03
HOMESCREEN,18,29/03
MARKETPLACE,1,29/03
MMS,66,29/03
SETTINGS,3,29/03
SMS,124,29/03
VIDEO,1,29/03
WIFI,12,29/03
BROWSER,9,30/03
CALENDAR,4,30/03
CAMERA,8,30/03
CLOCK,4,30/03
CONTACTS,87,30/03
DIALER,66,30/03
EMAIL,12,30/03
FACEBOOK,4,30/03
GALLERY,6,30/03
HOMESCREEN,18,30/03
MARKETPLACE,1,30/03
MMS,66,30/03
SETTINGS,3,30/03
SMS,124,30/03
VIDEO,1,30/03
WIFI,12,30/03
